Team,Pld,W,D,L,GF,GA,GD,Pts
1,38,29,8,1,87,26,+61,95
2,38,26,7,5,79,44,+35,85
3,38,25,6,7,85,46,+39,81
4,38,24,4,10,70,43,+27,76
5,38,19,11,8,61,37,+24,68
6,38,16,12,10,51,39,+12,60
7,38,14,15,9,48,45,+3,57
8,38,14,11,13,65,65,0,53
9,38,13,10,15,40,45,−5,49
10,38,12,10,16,36,46,−10,46
11,38,12,9,17,45,56,−11,45
12,38,10,13,15,42,54,−12,43
13,38,10,11,17,46,57,−11,41[b]
14,38,10,11,17,48,54,−6,41[b]
15,38,8,16,14,33,44,−11,40[c]
16,38,10,10,18,33,47,−14,40[c]
17,38,8,14,16,29,48,−19,38
18,38,6,15,17,26,55,−29,33
19,38,3,12,23,43,75,−32,21[d]
20,38,4,9,25,38,79,−41,21[d]
