Rank,Club Name,Games Played,Goal Against,goals
1,"Manchester City
Manchester City",37,33,93
2,"Arsenal
Arsenal",37,28,89
3,"Liverpool
Liverpool",37,41,84
4,"Newcastle United
Newcastle United",37,60,81
5,"Aston Villa
Aston Villa",37,56,76
6,"Chelsea
Chelsea",37,62,75
7,"Tottenham Hotspur
Tottenham Hotspur",37,61,71
8,"West Ham United
West Ham United",37,71,59
9,"Manchester United
Manchester United",37,58,55
10,"Brighton & Hove Albion
Brighton & Hove Albion",37,60,55
11,"Bournemouth
Bournemouth",37,66,54
12,"Brentford
Brentford",37,61,54
13,"Crystal Palace
Crystal Palace",37,58,52
14,"Fulham
Fulham",37,59,51
15,"Luton Town
Luton Town",37,82,51
16,"Wolverhampton
Wolverhampton",37,63,50
17,"Nottingham Forest
Nottingham Forest",37,66,47
18,"Burnley
Burnley",37,76,40
19,"Everton
Everton",37,49,39
20,"Sheffield United
Sheffield United",37,101,35
