Team,Pld,W,D,L,GF,GA
Alavés,76,17,18,41,67,122
Athletic Bilbao,76,25,26,25,89,78
Atlético Madrid,76,47,16,13,132,68
Barcelona,76,45,17,14,153,76
Celta Vigo,76,26,21,29,98,100
Cádiz,76,19,26,31,71,109
Eibar,38,6,12,20,29,52
Elche,76,19,21,36,74,107
Espanyol,38,10,12,16,40,53
Getafe,76,17,26,33,61,84
Granada,76,21,21,34,91,126
Huesca,38,7,13,18,34,53
Levante,76,17,25,34,97,133
Mallorca,38,10,9,19,36,63
Osasuna,76,23,22,31,74,99
Rayo Vallecano,38,11,9,18,39,50
Real Betis,76,36,18,22,112,90
Real Madrid,76,51,17,8,147,59
Real Sociedad,76,34,22,20,99,75
Sevilla,76,42,21,13,106,63
Valencia,76,21,28,27,98,106
Valladolid,38,5,16,17,34,57
Villarreal,76,31,24,21,123,81
